class,frame,ax,ay,second_difference_px,interior
condor,1,0.5,1.0,1.118033988749895,True
condor,2,-0.5,1.0,1.118033988749895,True
condor,3,0.5,1.0,1.118033988749895,True
condor,4,0.0,1.0,1.0,True
condor,5,0.5,1.5,1.5811388300841898,True
condor,6,-0.5,1.0,1.118033988749895,True
condor,7,0.5,1.0,1.118033988749895,True
condor,8,-0.5,-27.0,27.004629232781554,False
condor,9,0.5,-11.0,11.01135777277262,False
hangar,20,0.0,0.0,0.0,False
hangar,21,0.0,19.0,19.0,False
hangar,22,0.0,8.5,8.5,False
hangar,23,-0.5,1.0,1.118033988749895,True
helicopter,1,0.5,1.0,1.118033988749895,True
helicopter,2,-0.5,1.0,1.118033988749895,True
helicopter,3,0.0,1.0,1.0,True
helicopter,4,0.0,0.5,0.5,True
helicopter,5,0.5,1.5,1.5811388300841898,True
helicopter,6,0.0,0.5,0.5,True
helicopter,7,-0.5,1.0,1.118033988749895,True
helicopter,8,0.5,1.5,1.5811388300841898,True
helicopter,9,0.0,1.0,1.0,True
helicopter,10,0.0,1.0,1.0,True
helicopter,11,0.0,0.5,0.5,True
helicopter,12,0.0,1.5,1.5,True
helicopter,13,0.5,1.5,1.5811388300841898,True
helicopter,14,-1.0,0.5,1.118033988749895,True
helicopter,15,1.0,2.0,2.23606797749979,True
helicopter,16,0.0,0.5,0.5,True
helicopter,17,0.0,-31.0,31.0,False
jammer,1,0.0,1.0,1.0,True
jammer,2,0.0,1.5,1.5,True
jammer,3,0.0,1.0,1.0,True
jammer,4,0.0,1.0,1.0,True
jammer,5,-0.5,0.5,0.7071067811865476,True
jammer,6,0.5,2.0,2.0615528128088303,True
jammer,7,-0.5,1.0,1.118033988749895,True
jammer,8,0.0,0.5,0.5,True
jammer,9,0.0,2.0,2.0,True
jammer,10,0.5,1.0,1.118033988749895,True
jammer,11,-0.5,-7.0,7.0178344238090995,False
jet_plane,4,-0.5,24.5,24.50510150968569,False
jet_plane,5,1.0,0.5,1.118033988749895,True
jet_plane,6,-0.5,0.5,0.7071067811865476,True
jet_plane,7,0.0,1.0,1.0,True
jet_plane,8,0.5,0.5,0.7071067811865476,True
jet_plane,9,-0.5,1.0,1.118033988749895,True
jet_plane,10,0.5,0.5,0.7071067811865476,True
jet_plane,11,-0.5,1.0,1.118033988749895,True
jet_plane,12,0.5,0.5,0.7071067811865476,True
jet_plane,13,-0.5,1.0,1.118033988749895,True
jet_plane,14,0.5,1.0,1.118033988749895,True
jet_plane,15,0.0,0.5,0.5,True
jet_plane,16,-0.5,1.0,1.118033988749895,True
jet_plane,17,0.5,0.5,0.7071067811865476,True
jet_plane,18,0.0,1.5,1.5,True
jet_plane,19,0.5,0.5,0.7071067811865476,True
jet_plane,20,-1.0,1.0,1.4142135623730951,True
jet_plane,21,0.5,1.0,1.118033988749895,True
jet_plane,22,0.0,1.0,1.0,True
jet_plane,23,0.5,1.0,1.118033988749895,True
large_launcher,1,0.5,0.5,0.7071067811865476,True
large_launcher,2,0.0,0.5,0.5,True
large_launcher,3,0.0,1.0,1.0,True
large_launcher,4,0.5,0.5,0.7071067811865476,True
large_launcher,5,0.0,1.5,1.5,True
large_launcher,6,0.0,0.5,0.5,True
large_launcher,7,0.5,1.0,1.118033988749895,True
large_launcher,8,0.0,1.0,1.0,True
large_launcher,9,0.0,0.5,0.5,True
large_launcher,10,0.5,1.0,1.118033988749895,True
large_launcher,11,0.0,1.0,1.0,True
large_launcher,12,0.5,1.0,1.118033988749895,True
large_launcher,13,-0.5,1.0,1.118033988749895,True
large_launcher,14,0.5,1.5,1.5811388300841898,True
large_launcher,15,0.5,0.0,0.5,True
large_launcher,16,0.0,1.5,1.5,True
large_launcher,17,0.0,1.0,1.0,True
large_launcher,18,0.5,1.5,1.5811388300841898,True
large_launcher,19,-7.0,0.5,7.0178344238090995,False
large_launcher,20,0.0,2.0,2.0,False
large_launcher,21,-0.5,0.5,0.7071067811865476,False
large_launcher,22,0.5,1.5,1.5811388300841898,False
large_launcher,23,0.5,1.0,1.118033988749895,False
large_tower,7,0.0,22.0,22.0,False
large_tower,8,0.5,1.0,1.118033988749895,True
large_tower,9,-0.5,0.5,0.7071067811865476,True
large_tower,10,0.5,1.0,1.118033988749895,True
large_tower,11,0.5,0.5,0.7071067811865476,True
large_tower,12,-0.5,1.0,1.118033988749895,True
large_tower,13,1.0,0.5,1.118033988749895,True
large_tower,14,-0.5,1.0,1.118033988749895,True
large_tower,15,0.5,1.0,1.118033988749895,True
large_tower,16,-0.5,0.5,0.7071067811865476,True
large_tower,17,0.5,1.0,1.118033988749895,True
large_tower,18,0.5,1.5,1.5811388300841898,True
large_tower,19,0.0,0.0,0.0,True
large_tower,20,0.0,1.5,1.5,True
large_tower,21,0.5,0.5,0.7071067811865476,True
large_tower,22,0.0,2.0,2.0,True
large_tower,23,0.0,0.0,0.0,True
medium_launcher,15,0.5,15.0,15.008331019803634,False
medium_launcher,16,0.0,0.5,0.5,True
medium_launcher,17,0.5,1.0,1.118033988749895,True
medium_launcher,18,0.5,0.5,0.7071067811865476,True
medium_launcher,19,-1.0,0.5,1.118033988749895,False
medium_launcher,20,-5.5,1.0,5.5901699437494745,False
medium_launcher,21,0.0,1.0,1.0,False
medium_launcher,22,0.0,1.0,1.0,False
medium_plane,21,-0.5,8.5,8.514693182963201,False
medium_plane,22,-0.5,0.5,0.7071067811865476,True
medium_plane,23,0.5,1.0,1.118033988749895,True
small_launcher,1,0.5,1.0,1.118033988749895,True
small_launcher,2,-0.5,1.0,1.118033988749895,True
small_launcher,3,0.0,0.5,0.5,True
small_launcher,4,0.0,1.0,1.0,True
small_launcher,5,0.0,0.5,0.5,True
small_launcher,6,0.5,0.0,0.5,True
small_launcher,7,0.0,2.0,2.0,True
small_launcher,8,-0.5,0.0,0.5,True
