frame_index,match_basis,hosted_ordinal,replay_ordinal,matched,hosted_source,replay_source,source_equal,hosted_x1,hosted_y1,hosted_x2,hosted_y2,replay_x1,replay_y1,replay_x2,replay_y2,hosted_score,replay_score,iou,bbox_max_abs_error_px,score_abs_error,bbox_equal_at_telemetry_precision,score_equal_at_telemetry_precision,pair_equal_at_telemetry_precision
20,ordinal,0,0,True,yolo,yolo,True,301.2,151.5,317.4,168.1,301.2377624511719,151.5260467529297,317.4115905761719,168.0904083251953,0.0636,0.06361749768257141,0.9948168644721408,0.03776245117188637,1.749768257140738e-05,True,True,True
25,ordinal,0,0,True,yolo,yolo,True,140.7,115.3,157.3,132.4,140.72434997558594,115.25862121582031,157.2845001220703,132.4159698486328,0.0987,0.09868451952934265,0.9942728971172495,0.04137878417968466,1.5480470657344703e-05,True,True,True
25,ordinal,1,1,True,yolo,yolo,True,293.4,229.6,311.6,247.7,293.38409423828125,229.61428833007812,311.58905029296875,247.6827392578125,0.0399,0.03985735774040222,0.9967867574138028,0.01726074218748863,4.264225959777629e-05,True,True,True
35,ordinal,0,0,True,yolo,yolo,True,537.4,66.3,550.3,79.7,537.40673828125,66.31096649169922,550.311767578125,79.72602081298828,0.0188,0.018817543983459473,0.9958175446643509,0.026020812988278408,1.7543983459471918e-05,True,True,True
35,ordinal,1,1,True,yolo,yolo,True,545.9,59.8,558.1,69.9,545.8701171875,59.788307189941406,558.07861328125,69.86865997314453,0.0116,0.011556446552276611,0.9915794529237411,0.031340026855474434,4.355344772338787e-05,True,True,True
35,ordinal,2,2,True,yolo,yolo,True,449.8,31.8,476.0,53.8,449.7802429199219,31.843761444091797,475.9982604980469,53.77425765991211,0.0101,0.010095000267028809,0.996025836362659,0.043761444091796164,4.999732971191009e-06,True,True,True
45,ordinal,0,0,True,yolo,yolo,True,565.0,512.5,583.4,526.9,565.0236206054688,512.5076904296875,583.4325561523438,526.9183349609375,0.0615,0.061506807804107666,0.9951553475761795,0.03255615234377274,6.807804107666904e-06,True,True,True
45,ordinal,1,1,True,yolo,yolo,True,263.9,59.6,278.5,74.0,263.9466247558594,59.640323638916016,278.5454406738281,73.95474243164062,0.044,0.044038981199264526,0.9878261502126489,0.04662475585939774,3.898119926452892e-05,True,True,True
45,ordinal,2,2,True,yolo,yolo,True,412.2,217.9,428.8,232.3,412.184326171875,217.85943603515625,428.79736328125,232.263916015625,0.0219,0.021876752376556396,0.9935988073183152,0.040563964843755684,2.3247623443602844e-05,True,True,True
45,ordinal,3,3,True,yolo,yolo,True,539.8,216.9,556.8,230.5,539.7776489257812,216.8759765625,556.8157348632812,230.4708251953125,0.0135,0.013522088527679443,0.9938734065768797,0.0291748046875,2.2088527679443512e-05,True,True,True
50,ordinal,0,0,True,yolo,yolo,True,543.8,299.6,557.6,314.3,543.7967529296875,299.5675964355469,557.5726318359375,314.2806701660156,0.0153,0.015280932188034058,0.9942829198220756,0.03240356445314774,1.9067811965941747e-05,True,True,True
50,ordinal,1,1,True,yolo,yolo,True,245.9,129.1,273.0,149.1,245.87307739257812,129.06503295898438,272.9918518066406,149.09109497070312,0.0137,0.013675659894943237,0.9965211769108699,0.034967041015619316,2.4340105056763067e-05,True,True,True
50,ordinal,2,2,True,yolo,yolo,True,325.2,114.9,349.5,132.7,325.18414306640625,114.94273376464844,349.51220703125,132.66847229003906,0.0122,0.012246936559677124,0.9946840433503465,0.042733764648431816,4.693655967712325e-05,True,True,True
55,ordinal,0,0,True,yolo,yolo,True,407.2,390.9,423.2,407.6,407.1925354003906,390.8502197265625,423.2186584472656,407.62158203125,0.0551,0.05512097477912903,0.9941218972667387,0.04978027343747726,2.097477912902518e-05,True,True,True
55,ordinal,1,1,True,yolo,yolo,True,321.6,191.5,342.9,207.2,321.5762939453125,191.52569580078125,342.941162109375,207.1824951171875,0.0165,0.016500204801559448,0.9942288178758438,0.04116210937502274,2.0480155944746503e-07,True,True,True
55,ordinal,2,2,True,yolo,yolo,True,248.3,207.9,264.2,224.5,248.31610107421875,207.8942413330078,264.20953369140625,224.4875030517578,0.0105,0.010476112365722656,0.9972919333708078,0.01610107421873863,2.3887634277344402e-05,True,True,True
60,ordinal,0,0,True,yolo,yolo,True,405.6,491.5,421.5,506.7,405.57354736328125,491.48577880859375,421.52716064453125,506.74945068359375,0.0167,0.016697406768798828,0.9924819804315795,0.04945068359376137,2.593231201171442e-06,True,True,True
65,ordinal,0,0,True,yolo,yolo,True,453.8,320.9,474.0,339.0,453.84991455078125,320.9442138671875,473.98065185546875,338.9827880859375,0.0254,0.02537977695465088,0.9931891005655177,0.04991455078123863,2.022304534912006e-05,True,True,True
65,ordinal,1,1,True,yolo,yolo,True,229.4,379.8,248.2,397.0,229.4423828125,379.826171875,248.15359497070312,397.013671875,0.0134,0.013398617506027222,0.9929772414805981,0.04640502929686363,1.3824939727787727e-06,True,True,True
70,ordinal,0,0,True,yolo,yolo,True,296.7,268.7,311.7,286.7,296.74249267578125,268.6891784667969,311.70556640625,286.6527404785156,0.0213,0.021349668502807617,0.9935854490280929,0.04725952148436363,4.96685028076177e-05,True,True,True
75,ordinal,0,0,True,yolo,yolo,True,213.3,341.0,229.9,357.3,213.34268188476562,340.9754638671875,229.88430786132812,357.282958984375,0.0119,0.011908620595932007,0.9939507907346363,0.04268188476561363,8.620595932005981e-06,True,True,True
80,ordinal,0,0,True,yolo,yolo,True,280.8,450.5,298.5,471.8,280.8282470703125,450.4656982421875,298.5322265625,471.79632568359375,0.0284,0.02835443615913391,0.9948185021906181,0.0343017578125,4.55638408660905e-05,True,True,True
95,ordinal,0,0,True,yolo,yolo,True,705.9,101.3,716.6,114.3,705.933837890625,101.33736419677734,716.598876953125,114.31534576416016,0.0156,0.015613853931427002,0.992699847492808,0.03736419677734659,1.385393142700267e-05,True,True,True
100,ordinal,0,0,True,yolo,yolo,True,711.4,177.1,722.2,188.6,711.4265747070312,177.1222686767578,722.1696166992188,188.5576934814453,0.0252,0.025164425373077393,0.989140490138966,0.042306518554681816,3.55746269226076e-05,True,True,True
100,ordinal,1,1,True,yolo,yolo,True,453.7,123.1,476.1,141.5,453.66754150390625,123.14173889160156,476.09735107421875,141.5061492919922,0.0109,0.010919183492660522,0.9958406016257373,0.041738891601568184,1.9183492660522494e-05,True,True,True
105,ordinal,0,0,True,yolo,yolo,True,457.4,200.5,469.9,219.3,457.41851806640625,200.477783203125,469.88702392578125,219.2984619140625,0.0346,0.034607648849487305,0.9962245451083499,0.022216796875,7.648849487305875e-06,True,True,True
110,ordinal,0,0,True,yolo,yolo,True,456.3,286.3,469.7,303.1,456.2652282714844,286.26373291015625,469.6584167480469,303.07257080078125,0.0101,0.010066449642181396,0.9905656195012655,0.04158325195311363,3.355035781860312e-05,True,True,True
115,ordinal,0,0,True,yolo,yolo,True,349.3,33.8,362.5,45.4,349.25128173828125,33.80701446533203,362.47088623046875,45.39020538330078,0.02,0.01997169852256775,0.9926900596494148,0.04871826171876137,2.8301477432251393e-05,True,True,True
145,ordinal,0,0,True,yolo,yolo,True,705.9,463.4,722.2,480.2,705.9249267578125,463.3504638671875,722.224853515625,480.205078125,0.0143,0.014327436685562134,0.9937251276380284,0.04953613281247726,2.7436685562133578e-05,True,True,True
145,ordinal,1,1,True,yolo,yolo,True,230.9,377.9,247.1,393.1,230.9444580078125,377.8635559082031,247.1356201171875,393.1477966308594,0.0139,0.01390877366065979,0.9895982641846294,0.04779663085935226,8.773660659790877e-06,True,True,True
160,ordinal,0,0,True,yolo,yolo,True,515.3,245.2,530.0,259.1,515.27001953125,245.17428588867188,530.025390625,259.0769958496094,0.021,0.020999282598495483,0.9927682374313928,0.029980468749954525,7.174015045179061e-07,True,True,True
190,ordinal,0,0,True,yolo,yolo,True,372.3,123.1,388.9,136.0,372.2844543457031,123.12152862548828,388.9186096191406,136.0135498046875,0.0135,0.013539999723434448,0.9952392578167301,0.021528625488286934,3.9999723434448395e-05,True,True,True
195,ordinal,0,0,True,yolo,yolo,True,369.6,199.2,383.8,213.8,369.6369934082031,199.2236328125,383.7838439941406,213.8060302734375,0.0218,0.021839290857315063,0.9942353419322891,0.03699340820310226,3.929085731506354e-05,True,True,True
200,ordinal,0,0,True,yolo,yolo,True,364.8,282.9,381.4,296.1,364.82489013671875,282.87860107421875,381.42059326171875,296.09454345703125,0.0588,0.0587884783744812,0.9952406984891748,0.02489013671873863,1.152162551879693e-05,True,True,True
205,ordinal,0,0,True,yolo,yolo,True,361.8,372.5,377.0,386.5,361.8250732421875,372.5404357910156,376.953857421875,386.5352478027344,0.024,0.024044901132583618,0.9899592671283203,0.046142578125,4.4901132583617664e-05,True,True,True
210,ordinal,0,0,True,yolo,yolo,True,357.0,468.7,372.9,482.7,356.96319580078125,468.73785400390625,372.94683837890625,482.7432861328125,0.0984,0.09836408495903015,0.9890333158903184,0.04683837890627274,3.591504096984999e-05,True,True,True
210,ordinal,1,1,True,yolo,yolo,True,579.9,133.2,599.9,151.1,579.8701782226562,133.1905517578125,599.9229125976562,151.0843505859375,0.0248,0.024838626384735107,0.9959748252026253,0.029821777343727263,3.8626384735108293e-05,True,True,True
210,ordinal,2,2,True,yolo,yolo,True,367.5,476.2,376.0,485.1,367.4630126953125,476.2303466796875,375.9569091796875,485.08740234375,0.0105,0.010486006736755371,0.9858605261862704,0.0430908203125,1.3993263244629559e-05,True,True,True
220,ordinal,0,0,True,yolo,yolo,True,454.3,378.4,469.7,394.6,454.27001953125,378.3511962890625,469.7110595703125,394.6068115234375,0.0303,0.030251920223236084,0.9939299449927488,0.04880371093747726,4.807977676391656e-05,True,True,True
225,ordinal,0,0,True,yolo,yolo,True,453.5,474.9,469.5,491.6,453.539306640625,474.8530578613281,469.53778076171875,491.6230163574219,0.0433,0.04329651594161987,0.9910519155754846,0.04694213867185226,3.4840583801251657e-06,True,True,True
245,ordinal,0,0,True,yolo,yolo,True,533.3,102.0,546.8,116.1,533.2908935546875,101.95539093017578,546.7567138671875,116.14371490478516,0.0208,0.020783275365829468,0.9899404565134319,0.04460906982421875,1.6724634170531272e-05,True,True,True
